,image,cellid,transcnt,treat,labelid_cell,area_cell,major_axis_length_cell,minor_axis_length_cell,mean_intensity-1,mean_intensity-2,mean_intensity-3,zsum_intensity_0,zsum_intensity_1,zsum_intensity_2,zsum_intensity_3,labelid_nuc,cell_linkid,area_nuc,mean_intensity-0,eccentricity,major_axis_length_nuc,minor_axis_length_nuc
231,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 14_c405_c488_c561_c640,1,8,GL2+Puro_48h,1,119711,558.1652335961185,295.0807386708911,1333.1367125828035,7315.692024960113,3743.800327455288,933395729.0,18639805.0,3053318964.0,1560937276.0,1,1,2356,3801.4698641765694,0.9605359647162548,107.2367918313974,29.82853782130504
232,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 14_c405_c488_c561_c640,1,8,GL2+Puro_48h,1,119711,558.1652335961185,295.0807386708911,1333.1367125828035,7315.692024960113,3743.800327455288,933395729.0,18639805.0,3053318964.0,1560937276.0,2,1,18177,8057.760796611102,0.681128602584778,179.1921819565709,131.19802846906887
233,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 14_c405_c488_c561_c640,2,6,GL2+Puro_48h,2,60315,459.1095017826892,176.5025863938441,1259.0368067644863,7525.345585675205,4637.854464063666,402847515.0,5649960.0,1698518827.0,1011533023.0,3,2,8062,8206.295584222278,0.8991549947523511,163.07724421424612,71.36754627741726
234,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 14_c405_c488_c561_c640,3,10,GL2+Puro_48h,3,105244,391.2953601514601,363.64767455959645,1202.967817642811,7516.509739272547,2861.5205807456955,1613830429.0,5597043.0,2910173112.0,474292205.0,4,3,22434,9685.114959436569,0.7427653063434573,207.2288681170425,138.75047509362997
235,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 14_c405_c488_c561_c640,4,5,GL2+Puro_48h,4,62308,445.4334312925613,204.3575932539219,1174.151264685113,4246.951739744495,2090.403126404314,672233102.0,6455259.0,449607799.0,60238208.0,5,4,16054,6854.77637971845,0.8987049295632112,219.1415372584724,96.10535742145686
236,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 14_c405_c488_c561_c640,5,4,GL2+Puro_48h,5,85817,454.6147832532597,265.48832569616974,1171.9220550706737,5536.359800505727,3297.412610555018,801295030.0,4604787.0,1202279378.0,613068684.0,6,5,20300,7050.416945812808,0.6779007077618758,187.85002272531543,138.09859680793014
237,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,1,4,GL2+Puro_48h,1,55805,340.8147335857114,220.9316540629872,2417.661392348356,6849.225696622167,2501.726189409551,560121216.0,79717972.0,1407643823.0,110346486.0,1,1,17770,6121.98446820484,0.6315546241915126,172.58590366650597,133.81126773194654
238,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,3,2,GL2+Puro_48h,3,41546,238.9377648820416,223.83459925742773,4944.850166080971,15993.38482645742,5359.693111250181,2919075092.0,900505909.0,6950920802.0,1518367919.0,4,3,3024,29777.61011904762,0.2729577028299509,64.27490862963398,61.83413551391912
239,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,3,2,GL2+Puro_48h,3,41546,238.9377648820416,223.83459925742773,4944.850166080971,15993.38482645742,5359.693111250181,2919075092.0,900505909.0,6950920802.0,1518367919.0,5,3,3375,29750.34459259259,0.6709403734127071,79.11678593101298,58.665991176816725
240,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,4,1,GL2+Puro_48h,4,38799,284.2474034915045,179.76690032838837,3224.1546689347665,5695.62798010258,4847.665249104359,379639890.0,124897482.0,657879427.0,664657185.0,3,4,18510,5661.850675310643,0.8800014393987888,227.48434498616012,108.04847060968264
